판매일,작품 ID,분류,작품명,작가명,레이블,회차 판매가 (원),총 사용 건수 (건),초기 무료 회차,에다무,광고보면 무료,신규 혜택 대여,유상 대여,소장,총 판매 건수 (건),광고보면 무료 판매금액 (원),광고보면 무료 운영 수수료 (원),소장 판매금액 (원),소장 운영 수수료 (원),대여 판매금액 (원),대여 운영 수수료 (원),판매 금액 합계 (원),운영 수수료 합계 (원),정산 금액 합계 (원)
2026.2.1,1419,웹소설,끝정,벚꽃그리고,플로린,100,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.1,1676,웹소설,흑막 도련님이 엉덩이 맴매에 집착한다,홍당근,리본,100,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.1,2423,웹소설,베드 파트너,이로이,사막여우,100,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.1,2511,웹소설,내가 M이라니,죄송한취향,시계토끼,100,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.1,2643,웹소설,에피소드,유이세스,하트퀸,100,12,11,0,0,0,0,1,1,0,0,100,30,0,0,100,30,70
2026.2.1,3181,웹소설,뜨겁게 박히다,느린돌,사막여우,100,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.1,3189,웹소설,죽었던 남편이 계략남으로 돌아왔다,하이엘라,사막여우,100,1,0,0,0,0,0,1,1,0,0,100,30,0,0,100,30,70
2026.2.1,3555,웹소설,남편과 파트너 사이,느린돌,사막여우,100,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.1,4801,웹소설,모노크롬 루머,치율,M블루,100,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.1,6599,웹소설,크고 잘생긴 오빠 친구,채하정,달밤,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.1,13427,웹소설,내 젤리를 너에게 바친다,감규울,앨리스,100,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.1,16792,웹소설,저주 짝꿍을 찾습니다,무가연,페리윙클,100,13,11,0,0,0,0,2,2,0,0,200,60,0,0,200,60,140
2026.2.1,18617,웹소설,오빠가 해줄게,진숙,하트퀸,100,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.1,19390,웹소설,[BL] 가면극,사유담,희우,100,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.1,20491,웹소설,"나를, 안아",차가울(미캉),고트북스,100,1,0,0,0,0,0,1,1,0,0,100,30,0,0,100,30,70
2026.2.1,20580,웹소설,힘을 숨겨도 공녀가 제일 강함,설윤영,앨리스,100,2,0,0,0,0,0,2,2,0,0,200,60,0,0,200,60,140
2026.2.2,1419,웹소설,끝정,벚꽃그리고,플로린,100,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.2,1569,웹소설,상사와 그런 사이,레이먼,래이니북스,100,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.2,2423,웹소설,베드 파트너,이로이,사막여우,100,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.2,2511,웹소설,내가 M이라니,죄송한취향,시계토끼,100,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.2,2643,웹소설,에피소드,유이세스,하트퀸,100,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.2,3184,웹소설,몰락,최강토끼,사막여우,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.2,3189,웹소설,죽었던 남편이 계략남으로 돌아왔다,하이엘라,사막여우,100,1,0,0,0,0,0,1,1,0,0,100,30,0,0,100,30,70
2026.2.2,4801,웹소설,모노크롬 루머,치율,M블루,100,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.2,18617,웹소설,오빠가 해줄게,진숙,하트퀸,100,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.2,19390,웹소설,[BL] 가면극,사유담,희우,100,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.2,20361,웹소설,아저씨,강태형,하트퀸,100,1,0,0,0,0,0,1,1,0,0,100,30,0,0,100,30,70
2026.2.2,20580,웹소설,힘을 숨겨도 공녀가 제일 강함,설윤영,앨리스,100,2,0,0,0,0,0,2,2,0,0,200,60,0,0,200,60,140
2026.2.3,1419,웹소설,끝정,벚꽃그리고,플로린,100,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.3,1541,웹소설,만져도 돼?,차가울(미캉),플로린,100,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.3,1632,웹소설,이혼하러 온 주제에,상림(메리J),플로린,100,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.3,1676,웹소설,흑막 도련님이 엉덩이 맴매에 집착한다,홍당근,리본,100,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.3,2423,웹소설,베드 파트너,이로이,사막여우,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.3,2511,웹소설,내가 M이라니,죄송한취향,시계토끼,100,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.3,2513,웹소설,네 마리 포식자들,하얀백지,시계토끼,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.3,2633,웹소설,불순한 비서계약 [19세 개정판],삼색냥,하트퀸,100,5,0,0,0,0,0,5,5,0,0,500,150,0,0,500,150,350
2026.2.3,2643,웹소설,에피소드,유이세스,하트퀸,100,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.3,3180,웹소설,온전하지 못한 관계,하루가 너무 길다,사막여우,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.3,3181,웹소설,뜨겁게 박히다,느린돌,사막여우,100,6,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.3,3189,웹소설,죽었던 남편이 계략남으로 돌아왔다,하이엘라,사막여우,100,1,0,0,0,0,0,1,1,0,0,100,30,0,0,100,30,70
2026.2.3,3554,웹소설,후회해도,짙은,사막여우,100,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.3,3555,웹소설,남편과 파트너 사이,느린돌,사막여우,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.3,3804,웹소설,BL 웹드라마의 남주가 되었다.,쪼꼬빔,M블루,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.3,14216,웹소설,못된 오빠,평온한,사막여우,100,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.3,16792,웹소설,저주 짝꿍을 찾습니다,무가연,페리윙클,100,3,2,0,0,0,0,1,1,0,0,100,30,0,0,100,30,70
2026.2.3,19390,웹소설,[BL] 가면극,사유담,희우,100,2,0,0,0,0,0,2,2,0,0,200,60,0,0,200,60,140
2026.2.3,20412,웹소설,침대 위의 대표님,왕기대,,100,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.3,20580,웹소설,힘을 숨겨도 공녀가 제일 강함,설윤영,앨리스,100,2,0,0,0,0,0,2,2,0,0,200,60,0,0,200,60,140
2026.2.4,1419,웹소설,끝정,벚꽃그리고,플로린,100,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.4,1541,웹소설,만져도 돼?,차가울(미캉),플로린,100,14,2,0,0,0,0,12,12,0,0,1200,360,0,0,1200,360,840
2026.2.4,1580,웹소설,슈가 코팅 (Sugar Coating),박온새미로,플로린,100,3,2,0,0,0,0,1,1,0,0,100,30,0,0,100,30,70
2026.2.4,1592,웹소설,애로 인 오피스,피숙혜,플로린,100,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.4,1598,웹소설,언모럴,강윤결,플로린,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.4,1632,웹소설,이혼하러 온 주제에,상림(메리J),플로린,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.4,1654,웹소설,파랑이 흐른다 (개정판),별보라,플로린,100,11,3,0,0,0,0,8,8,0,0,800,240,0,0,800,240,560
2026.2.4,2423,웹소설,베드 파트너,이로이,사막여우,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.4,2511,웹소설,내가 M이라니,죄송한취향,시계토끼,100,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.4,2543,웹소설,어린 짐승,마뇽,시계토끼,200,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.4,2557,웹소설,천년애사(蛇),김연서,시계토끼,100,3,2,0,0,0,0,1,1,0,0,100,30,0,0,100,30,70
2026.2.4,2588,웹소설,결혼 후 연애 시작,서희수,하트퀸,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.4,2591,웹소설,계약 파트너,DANA(다나),하트퀸,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.4,2596,웹소설,나랑 해요,은예진,하트퀸,100,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.4,2608,웹소설,내 손으로 도와줄게,라쉬,하트퀸,100,18,2,0,0,0,0,16,16,0,0,1600,480,0,0,1600,480,1120
2026.2.4,2613,웹소설,달이 밝은 밤이면 [19세 개정판],핑크아몬드,하트퀸,100,6,5,0,0,0,0,1,1,0,0,100,30,0,0,100,30,70
2026.2.4,2620,웹소설,맛보게 해줘,무하,하트퀸,100,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.4,2623,웹소설,먼저 결혼부터,연우,하트퀸,100,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.4,2643,웹소설,에피소드,유이세스,하트퀸,100,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.4,3184,웹소설,몰락,최강토끼,사막여우,100,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.4,3189,웹소설,죽었던 남편이 계략남으로 돌아왔다,하이엘라,사막여우,100,1,0,0,0,0,0,1,1,0,0,100,30,0,0,100,30,70
2026.2.4,4801,웹소설,모노크롬 루머,치율,M블루,100,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.4,4832,웹소설,제라스의 여관,사이딘,마야마루출판사,100,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.4,5252,웹소설,씨 서방,점빵,달밤,100,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.4,6196,웹소설,흔적도 없이,짙은,사막여우,100,14,2,0,0,0,0,12,12,0,0,1200,360,0,0,1200,360,840
2026.2.4,13489,웹소설,이중 이혼 합의서(19세),김민,하트퀸,100,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.4,16792,웹소설,저주 짝꿍을 찾습니다,무가연,페리윙클,100,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.4,18997,웹소설,독 안에 든 선생님,그일도,플로린,100,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026.2.4,19390,웹소설,[BL] 가면극,사유담,희우,100,2,0,0,0,0,0,2,2,0,0,200,60,0,0,200,60,140
2026.2.4,19744,웹소설,너에게 파는 나의 밤 (삽화본),핑캐,해피북스투유,100,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
