공급사,작품유형,작품번호,작품명,레이블,작가,사용코인,콘텐츠 매출금액,결제수수료,정산 대상금액,콘텐츠 정산금액_면세,콘텐츠 정산금액_과세,콘텐츠 정산금액
스토린랩(웅진),웹소설,9762,걸려들다,,타흔,152800,152800,42983.1,109816.9,76867,0,76867
스토린랩(웅진),웹소설,9773,양반집,,결달,61500,61500,17488.8,44011.2,30806,0,30806
스토린랩(웅진),웹소설,7183,천하제일인 환생했다,,우태진,28200,28200,8460,19740,13818,0,13818
스토린랩(웅진),웹소설,7717,못된 오빠,,평온한,18800,18800,3557.4,15242.6,10669,0,10669
스토린랩(웅진),웹소설,7720,이혼은 없어 ,,이로이,10200,10200,1271.1,8928.9,6248,0,6248
스토린랩(웅진),웹소설,9764,계약 임신,,신은수,10100,10100,3003.3,7096.7,4967,0,4967
스토린랩(웅진),웹소설,7683,온전하지 못한 관계,,하루가 너무 길다,8100,8100,2430,5670,3969,0,3969
스토린랩(웅진),웹소설,7714,섬,,솧,5400,5400,1593.3,3806.7,2664,0,2664
스토린랩(웅진),웹소설,9771,다정한 미친놈,,채우솔,5000,5000,1206.3,3793.7,2654,0,2654
스토린랩(웅진),웹소설,7678,쉴 틈 없이 사랑해주세요,,하루가 너무 길다,4300,4300,1290,3010,2107,0,2107
스토린랩(웅진),웹소설,7675,베드 파트너,,이로이,4100,4100,1230,2870,2009,0,2009
스토린랩(웅진),웹소설,7673,달라진 건 없지만,,leda,1200,1200,39.6,1160.4,812,0,812
스토린랩(웅진),웹소설,7186,재벌 사위 말고 재벌 하겠습니다,,해달벗,1100,1100,330,770,539,0,539
스토린랩(웅진),웹소설,9778,조작된 밤,,진다래,1000,1000,300,700,490,0,490
스토린랩(웅진),웹소설,9027,다시 사랑한다면,,이리스,700,700,23.1,676.9,473,0,473
스토린랩(웅진),웹소설,7184,멸문세가 소가주,,지인,400,400,13.2,386.8,270,0,270
스토린랩(웅진),웹소설,7674,THE 런웨이,,Hirachell,400,400,13.2,386.8,270,0,270
스토린랩(웅진),웹소설,7679,"나의 수상한 상사, 설 팀장",,Hirachell,400,400,13.2,386.8,270,0,270
스토린랩(웅진),웹소설,7684,차 비서가 탐나면,,이봄아,400,400,13.2,386.8,270,0,270
스토린랩(웅진),웹소설,7687,스며들기 전에,,하루가 너무 길다,400,400,13.2,386.8,270,0,270
스토린랩(웅진),웹소설,7719,아내에게 미치면 ,,봄그린,400,400,13.2,386.8,270,0,270
스토린랩(웅진),웹소설,7727,아내 역할,,이리안,400,400,120,280,196,0,196
스토린랩(웅진),웹소설,9772,세러피스트,,leda,400,400,13.2,386.8,270,0,270
스토린랩(웅진),웹소설,7182,"검귀, 매화",,의진,300,300,63.3,236.7,165,0,165
스토린랩(웅진),웹소설,7725,언니의 첫날밤을 훔쳤다,,느린돌,300,300,9.9,290.1,203,0,203
스토린랩(웅진),웹소설,7726,배덕한 스캔들,,이리안,300,300,9.9,290.1,203,0,203
스토린랩(웅진),웹소설,7677,젖어드는 전남편,,하빕티,200,200,60,140,98,0,98
스토린랩(웅진),웹소설,9770,그에게서 벗어나는 방법,,쉬엔즈,200,200,6.6,193.4,135,0,135
스토린랩(웅진),웹소설,9777,오빠 닮은 아이,,최강토끼,200,200,60,140,98,0,98
스토린랩(웅진),웹소설,7722,우아한 개자식,,봄그린,100,100,3.3,96.7,67,0,67
스토린랩(웅진),웹소설,9780,질 나쁜 상사에게 끌리는 이유,,이하별,100,100,30,70,49,0,49
