작품명,작품코드,작가명,단가,판매건수,비율,정산금액,정산일
"[BL] 사로잡힌 후궁 - 후궁시리즈 2부",1329728,[엘라온],100,11,60%,660,2026.03.06
"[GL] 홍연(紅緣) [외전증보판]",1370441,[솔라리스][여시랑],100,5,60%,300,2026.03.06
"[BL] 교합",1372376,[[[마뇽]]],200,18,60%,2160,2026.03.06
"[BL] 손톱과 송곳니",1380791,[[사보]],100,1,60%,60,2026.03.06
"개 셋",1387870,[FROM나인],100,3,60%,180,2026.03.06
"마조히스트의 품격",1387894,[[스카이트리]],100,17,60%,1020,2026.03.06
"문과라도 안 죄송한 이세계로 감",1424034,정수읠,100,179,60%,10740,2026.03.06
"사제님의 비밀스런 교육(Dark)",1484295,[김연서],100,80,60%,4800,2026.03.06
"삼국지 : 업어 키운 엄백호",1637759,잠룡.,100,200,60%,12000,2026.03.06
"천재 포수가 선수도 잘 키움",1642024,경제설.,100,1,60%,60,2026.03.06
"안 보이는 투명츄 (개정판)",1647719,[고하솜],100,12,60%,720,2026.03.06
"로또 맞고 야구단을 샀다",1650507,잠룡.,100,125,60%,7500,2026.03.06
"가수는 아무나 하나?",1652380,꿈속의나.,100,25,60%,1500,2026.03.06
"미국 로또로 역대급 재벌! ",1693058,[강바기],100,68,60%,4080,2026.03.06
"증권 재벌의 천재 손자가 되었다",1693062,번파,100,6,60%,360,2026.03.06
"처음부터 다시 해",1709338,해이른,100,4,60%,240,2026.03.06
"선물 아내",1710116,청산연서,100,6,60%,360,2026.03.06
"다시 사랑한다면",1711106,[이리스].,100,20,60%,1200,2026.03.06
오니,1716063,U채.,100,1,60%,60,2026.03.06
"상태창 바둑마스터",1716849,[후레게],100,16,60%,960,2026.03.06
"크고 잘생긴 오빠 친구",1717600,[[채하정]],100,347,60%,20820,2026.03.06
"구원하려다 같이 데뷔함",1720446,윤선후.,100,2,60%,120,2026.03.06
"바람을 다스리다",1738473,[프로매니아],100,21,60%,1260,2026.03.06
"삼국지 : 유비의 책사, 천하를 삼키다.",1743050,월천랑,100,1,60%,60,2026.03.06
"부러진 가지를 잡지 마세요",1750733,[[[조코피아]]],100,70,60%,4200,2026.03.06
"천재 투수가 170km를 숨김",1755586,단팥빵소년.,100,25,60%,1500,2026.03.06
"내 남편은 언젠가 나를 배신한다",1765584,별고래파이,100,6,60%,360,2026.03.06
"이세계 전생했더니 영지민들이 날 너무 좋아함",1775737,김망초.,100,69,60%,4140,2026.03.06
"천재 의사는 조용히 살기로 했다",1778944,옆집고래.,100,4,60%,240,2026.03.06
"메디시스가의 오메가",1787968,코네꼬.,100,110,60%,6600,2026.03.06
"10라운더의 기적",1792703,극찬,100,95,60%,5700,2026.03.06
"충무공의 아들이 되었다",1793207,[보헤미아],100,90,60%,5400,2026.03.06
"칼레이 백작가의 매맞이 하녀",1799349,[뮤사203],100,15,60%,900,2026.03.06
"천하제일 상단주",1800510,지인.,100,1,60%,60,2026.03.06
"잠자는 공주님",1805205,은비령.,100,1,60%,60,2026.03.06
"청년 리마르",1812202,[월계수],100,3,60%,180,2026.03.06
"PD님은 방송천재",1812583,[[[유나파파]]],100,75,60%,4500,2026.03.06
"남자인데도 내가 좋다고?",1814845,[베르시],100,9,60%,540,2026.03.06
"언니, 남편만 바꿀게",1816849,이은비.,100,21,60%,1260,2026.03.06
"성기사를 삼킨 마녀",1816851,김캐럿.,100,14,60%,840,2026.03.06
"당신을 사랑하는 윈프린턴",1819677,[[이리내]],100,29,60%,1740,2026.03.06
"마검, 화산 가다",1831154,[[[겨울반디]]],100,3,60%,180,2026.03.06
"신 6.25 전쟁",1832177,[[비류수]],100,185,60%,11100,2026.03.06
"용살자의 클래스가 다른 회귀",1833419,헥토파스칼.해경,100,230,60%,13800,2026.03.06
"천재 공학자는 투자가 너무 쉽다",1834299,toAny,100,30,60%,1800,2026.03.06
"무한의 강화사",1834433,[[오렌]],100,1,60%,60,2026.03.06
"재벌에서 광복군까지",1838773,빛나는구름,100,666,60%,39960,2026.03.06
"오만한 주인의 초상화",1849842,offnun(오프넌),100,1,60%,60,2026.03.06
"번갯불에 콩 볶듯이",1849850,라디칼.,100,4,60%,240,2026.03.06
다정한 남편을 유혹합니다,1858231,은달해.,100,1,60%,60,2026.03.06
"섬에서 탈출하려다 사기 계약 당했다",1858232,휘민.,100,2,60%,120,2026.03.06
"기간트 명가의 역대급 막내로 환생했다",1858234,글동냥,100,193,60%,11580,2026.03.06
"미친놈의 집착에서 벗어나는 법",1858241,글쓰는아프로디테.,100,72,60%,4320,2026.03.06
"임신 강요",1858246,오유영,100,119,60%,7140,2026.03.06
"금단 위에 순정",1858911,로체니콥.,100,201,60%,12060,2026.03.06
