공급사,작품유형,작품번호,작품명,레이블,작가,사용코인,콘텐츠 매출금액,결제수수료,정산 대상금액,콘텐츠 정산금액_면세,콘텐츠 정산금액_과세,콘텐츠 정산금액
스토린랩,웹소설,13041,아프더라도,하트퀸,연우,534200,534200,141089.4,393110.6,275159,0,275159
스토린랩,웹소설,13036,모르는 아내 (15세 개정판),사막여우,소낙연,510100,510100,135675,374425,262082,0,262082
스토린랩,웹소설,12315,독보강호의 귀환,심월(心月),천우한,149600,149600,43498.3,106101.7,74269,0,74269
스토린랩,웹소설,13039,헬로우 웨딩,하트퀸,백묘,93300,93300,27616.2,65683.8,45978,0,45978
스토린랩,웹소설,13034,나의 오만한 배우님,사막여우,솧,67300,67300,15998.1,51301.9,35909,0,35909
스토린랩,웹소설,13025,신검환생록,드림북스,윤민호,58300,58300,14472.9,43827.1,30672,0,30672
스토린랩,웹소설,11079,천하제일 상단주,ARC,지인,45300,45300,1494.9,43805.1,30657,0,30657
스토린랩,웹소설,13035,고추밭에서 만나요!,사막여우,최고진,41100,41100,12276.6,28823.4,20176,0,20176
스토린랩,웹소설,11899,백룡선생,드림북스,시니어,40700,40700,12210,28490,19943,0,19943
스토린랩,웹소설,7651,"마검, 화산 가다",매드햇,겨울반디,40100,40100,1323.3,38776.7,27134,0,27134
스토린랩,웹소설,12314,검출형산,심월(心月),일편소엽,37700,37700,11310,26390,18473,0,18473
스토린랩,웹소설,7652,강호초출 마교주,매드햇,청염,36600,36600,10980,25620,17934,0,17934
스토린랩,웹소설,13031,"매일 밤, 나를 안지 않는 남편에게",사막여우,혜루나,35400,35400,8724.3,26675.7,18670,0,18670
스토린랩,웹소설,13033,매버릭(Maverick)(15세 개정판),하트퀸,윤산,31900,31900,6152.4,25747.6,18022,0,18022
스토린랩,웹소설,12306,하오문의 절대검신,드림북스,정천,27800,27800,3140.2,24659.8,17246,0,17246
스토린랩,웹소설,13026,어림번천검,드림북스,양홍준,20900,20900,6270,14630,10241,0,10241
스토린랩,웹소설,11055,날 구원할 하녀,사막여우,choisang,19300,19300,3013.2,16286.8,11400,0,11400
스토린랩,웹소설,11890,위씨세가 마신공자,드림북스,무불위,19200,19200,5706.6,13493.4,9445,0,9445
