"판매/취소일시","ItemId","제목","판매형태","정가","판매가","정산액","원주문일시","저자명","출판사명","정산처명","ISBN","UCI","CID"
"2026-03-04 22:08:36","162342854","나는 남의 여자만 뺏는다 01","판매","0","0","0","2026-02-27 17:48:46","레이미샤","야맨스","스토린랩",=T("9791160396096"),=T(""),""
"2026-03-01 00:08:01","385347983","천라신조 01","대여","0","0","0","","태규","러프미디어","스토린랩",=T("9791173262067"),=T(""),"D203971"
"2026-03-01 00:14:21","384623949","쾌감 중독 : 그렇게 때리면 안 된다고요!","판매","1,000","1,000","700","","문토깽","로튼로즈","스토린랩",=T("9791175582347"),=T(""),"D211209"
"2026-03-01 03:22:03","336662114","마녀의 집","판매","2,000","2,000","1,400","","핑캐","로튼로즈","스토린랩",=T("9791170894506"),=T(""),"k278555"
"2026-03-01 03:22:16","306316595","한 배를 탄 사이 1","판매","3,300","3,300","2,310","","서루","시계토끼","스토린랩",=T("9791164097531"),=T(""),"N181093"
"2026-03-01 06:19:52","328523085","속고 속이는 연극 동아리 : 수영장 깜짝 카메라","판매","1,000","1,000","700","","음전한","로튼로즈","스토린랩",=T("9791170892236"),=T(""),"k193971"
"2026-03-01 06:43:36","194363075","악마의 스포츠카 1","판매","0","0","0","","퓨어곰탱","야맨스","스토린랩",=T("9791160398380"),=T(""),""
"2026-03-01 06:43:36","385373317","스팀펑크 대한 01","판매","0","0","0","","빅타이거","제녹","스토린랩",=T("9791194982159"),=T(""),"D219373"
"2026-03-01 06:59:11","337247387","오메가 흑막들의 하나뿐인 알파가 되었다 1","판매","3,300","3,300","2,310","","투명고등어","아이즈","스토린랩",=T("9791170895749"),=T(""),"k268422"
"2026-03-01 08:10:52","242902392","사제님의 비밀스런 교육 (Dark) 1","판매","2,800","2,800","1,960","","김연서","시계토끼","스토린랩",=T("9791164091706"),=T(""),""
"2026-03-01 08:44:41","385348008","풍사전기 01","대여","0","0","0","","태규","러프미디어","스토린랩",=T("9791173261572"),=T(""),"D204001"
"2026-03-01 08:49:05","317948848","S.K.T. 1","판매","0","0","0","","김철곤","넥스트레벨 스튜디오","스토린랩",=T("9791192729381"),=T(""),"k102976"
"2026-03-01 09:07:50","306316654","한 배를 탄 사이 2","판매","3,300","3,300","2,310","","서루","시계토끼","스토린랩",=T("9791164097548"),=T(""),"N181094"
"2026-03-01 09:07:50","306316574","한 배를 탄 사이 3","판매","3,300","3,300","2,310","","서루","시계토끼","스토린랩",=T("9791164097555"),=T(""),"N181095"
"2026-03-01 09:13:12","379922517","[세트] 싫은 후배와 과제 하다가 (외전 포함) (총2권/완결)","판매","4,000","4,000","2,800","","도라희","아이즈","스토린랩",=T("9791175582514"),=T(""),""
"2026-03-01 09:13:12","362974936","친구 아빠와 잔다는 건","판매","1,000","1,000","700","","김뭉니","로튼로즈","스토린랩",=T("9791173014437"),=T(""),"B044592"
"2026-03-01 09:17:08","385373317","스팀펑크 대한 01","판매","0","0","0","","빅타이거","제녹","스토린랩",=T("9791194982159"),=T(""),"D219373"
"2026-03-01 10:17:53","385347797","수궁전 (외전)","판매","700","630","441","","Magoing","시계토끼","스토린랩",=T("9791172821937"),=T(""),"D137172"
"2026-03-01 10:19:42","291834046","문과라도 안 죄송한 이세계로 감 452화","판매","100","100","70","","정수읠","매드햇","스토린랩",=T("9791162589724"),=T(""),"N083232"
"2026-03-01 10:53:18","371719945","선수의 여자","판매","2,700","2,700","1,890","","류재현","유니브","스토린랩",=T("9791194726692"),=T(""),"D112588"
