label_resolved,settle,works,plats
에필로그,55265711.997,279,13
뿔미디어,46862931.582,344,11
화월(花月),32205114.456,3,10
스토리야,23363867.753,347,20
래이니북스,11924228.5,247,12
도서출판 선,11458085.4,1001,11
사막여우,10194512.8,193,19
넥스트레벨스튜디오,9707644.38,51,12
청어람,8897679.0,123,5
해피북스투유,6644063.9120000005,174,17
플로린,6217051.59,192,14
에이피북스,5915849.2,1767,7
러프미디어,5668614.0,27,8
JK미디어,5594737.4,12,8
로튼로즈,5269442.5,914,9
조은세상,4234218.59,61,8
와이엠북스,4150872.32,172,5
피오렛,3852831.36,64,9
주은출판사,3536814.82,78,8
Red Cat,3336946.14,241,15
로망로즈,2618269.0,158,5
제녹,2531909.6,14,16
아르테미스,2456272.0,74,7
희우,2361705.5,627,10
누보로망,2324427.0,138,8
밤새던,2139285.48,12,17
리체북스앤미디어,2127454.242,14,16
레토북스,2034927.0,70,6
야간비행,1935243.79,11,14
답청(踏靑),1866838.66,4,3
유즈비,1798215.4,22,12
다향,1775767.21,131,9
오쉬컴퍼니,1567454.8,33,14
넥스트레벨 스튜디오,1463646.2,39,12
유니브,1453638.48,22,15
레이드,1171496.9,13,7
스칼렛,1107289.82,99,9
패러그래프,971040.0,12,3
스토린랩,924600.32,20,8
필,905877.7,65,7
B&M,847566.02,72,8
누디나잇,847353.93,67,6
리더북스,690113.0,52,7
히어로블,646068.5,13,10
루어,594188.0,86,3
아토북(Atto Book),571025.0,3,2
작가컴퍼니,549668.0,20,3
이스토리아,547046.4299999999,32,3
썸데이,538049.46,39,9
도파민,528010.0,10,6
에오스,506021.18,102,5
레이어드,503734.0,106,6
달밤,493341.0,28,15
로망띠끄,490987.0,74,5
펜드라마,465341.8,2,9
야맨스,454444.98,45,14
답인(答人),442609.0,13,3
블랙로즈,430479.0,33,8
마야마루,422202.9,20,5
오브 (Aube),417189.08,2,7
요미북스,411077.94,45,3
파인컬렉션,410712.96,128,4
리본,403183.4,22,8
레드필로우,384676.04099999997,19,9
라포레,380658.0,22,16
아이즈,340914.0,38,7
민들레북,334968.0,2,7
보리출판사,325560.6,11,2
페퍼민트,300972.0,65,6
레드클립,284973.78,39,5
읽을레오,282258.9,49,8
엔리즈,268639.0,3,6
고트북스,268134.7,28,12
모던,246841.0,31,5
오드캣,229899.6,64,1
오넷,225298.4,8,6
나인스펙트럼,224074.9,17,13
노크(knock),223080.0,41,4
퍼플클립,219751.0,7,5
달리아,209087.0,17,9
팀씨에스피,201922.0,47,7
채음,198232.0,11,9
첫문장,193683.0,90,7
율리시즈,190543.0,6,5
PJ미디어,168039.87,4,7
벨숲,166815.0,7,9
휴브릿지,165722.1,3,9
남의 남편 2(완결),153660.0,2,1
red cat,148707.16,42,5
신드롬,146559.0,31,5
코튼북스,145523.0,17,6
미어덜트,138040.0,77,7
남의 남편 1,133185.0,2,1
오늘은북스,130622.38,3,5
부도덕한 밀애*세트구매*,130050.0,1,1
아토북,123550.0,1,2
삼켜지는 밤*세트구매*,121329.0,1,1
N.fic,119315.8,5,13
이지콘텐츠,118125.0,28,4
부도덕한 밀애 1,116250.0,2,1
봄미디어,115403.4,28,4
클린로즈,108346.0,27,7
페브,106134.0,32,6
원샷(OneShot),105442.0,20,4
클라르테,104825.0,7,8
피치닷,104018.6,16,5
엔블록,102970.0,1,4
라이즈,102494.0,11,4
파란미디어,102172.0,28,3
베아트리체,98348.6,28,6
가디언,97334.0,1,2
이혼 시차*세트구매*,95931.0,1,1
폭정,93280.0,2,1
노크(Knock),90363.0,7,2
수스토리,89190.0,10,3
위즈덤하우스,85792.0,17,6
더파란스튜디오,85598.8,2,7
남의 남편*세트구매*,83538.0,1,1
이혼 시차 2(완결),82350.0,2,1
마인드큐브,81872.0,14,4
가갸날,80540.0,9,4
시간여행,76559.0,6,6
블로우,76370.0,12,7
이혼 시차 1,76200.0,2,1
삼켜지는 밤 1,74725.0,2,1
더티 웨딩*세트구매*,72296.0,1,1
페일블루,71673.0,48,5
시크하라,69202.0,12,2
무례한 결혼,68640.0,2,1
금단 증상,67200.0,2,1
엔플러스,64713.05,114,2
후회 없는 선택이었다 1,64120.0,1,1
양밥 (삽화본)*세트구매*,62656.0,1,1
부도덕한 밀애 2(완결),61650.0,2,1
