유형,label_resolved,출판사(입력),settle,works,plats,유통사(정산액순),대표원본파일
검토대상,AP북스,AP북스,30540,51,0,피우리·교보문고·하이북·예스24·무툰 외3곳 [8곳],교보문고 1월.xlsx
검토대상,에이피북스,AP북스,5916339,1767,0,모픽·무툰·예스24·미스터블루·피플앤스토리 외2곳 [7곳],모픽_작품별_정산_202604.xlsx
검토대상,창작집단 뻘,AP북스,1073,2,0,원스토리·미스터블루 [2곳],원스토리 26년 2월.xlsx
단독출판사,가갸날,가갸날,80540,9,0,알라딘·교보문고·리디·밀리의서재 [4곳],교보문고 1월.xlsx
단독출판사,가디언,가디언,97334,1,0,카카오페이지·하이북 [2곳],카카오페이지 일반계약_2026-04_주식회사 스토린랩_CP월정산내역.xlsx
검토대상,가로수길,가로수길,0,12,0,미스터블루 [1곳],미스터블루_2026-01-01_2026-01-31.xlsx
검토대상,교보문고,교보문고,5264,2,0,네이버시리즈 [1곳],네이버 26년 3월.xls
검토대상,글로라이터,글로라이터,19373,1,0,원스토리·네이버시리즈 [2곳],원스토어 1월 정산내역_20260617_142054.xlsx
검토대상,달리아,꼬제,209087,17,0,밀리의서재·알라딘·모픽·조아라·에이블리 외4곳 [9곳],알라딘 26년 2월.csv
검토대상,달리아(스토리숲),꼬제,26215,3,0,알라딘 [1곳],알라딘 26년 3월.csv
검토대상,라포레,꼬제,367498,22,0,애니툰·밀리의서재·피우리·미소설·로망띠끄(연재) 외10곳 [15곳],애니툰 2026년 01월 정산 내역_storinlab.xlsx
검토대상,라포레(스토리숲),꼬제,4900,1,0,로망띠끄(단행본) [1곳],로망띠끄 1월_전자책.xls
검토대상,미니꼬제,꼬제,53480,7,0,원스토리·알라딘·북큐브·예스24·로망띠끄(단행본) 외4곳 [9곳],원스토어 1월 정산내역_20260617_142054.xlsx
검토대상,벨숲,꼬제,166815,7,0,밀리의서재·북큐브·알라딘·조아라·예스24 외4곳 [9곳],밀리의서재 월별_정산내역_콘텐츠별상세_1781685021378.xls
검토대상,벨숲(스토리숲),꼬제,28014,4,0,알라딘 [1곳],알라딘 4월_B2C.csv
검토대상,오넷,꼬제,225298,8,0,알라딘·밀리의서재·조아라·교보문고·원스토리 외1곳 [6곳],알라딘 4월_B2C.csv
검토대상,유니브,꼬제,1451188,22,0,교보문고·애니툰·알라딘·북큐브·예스24 외9곳 [14곳],교보문고 1월.xlsx
검토대상,유즈비,꼬제,1798215,22,0,교보문고·예스24·알라딘·조아라·북큐브 외7곳 [12곳],예스24 26년 3월.xls
검토대상,제녹,꼬제,2530020,14,0,무툰·원스토리·교보문고·조아라·예스24 외10곳 [15곳],무툰 26년 2월.xls
검토대상,나인스펙트럼,나인스펙트럼,224075,17,0,북큐브·알라딘·원스토리·애니툰·미소설 외8곳 [13곳],북큐브 상세매출 2026-4~2026-4 (1).xlsx
검토대상,넥스트레벨 스튜디오,넥스트레벨스튜디오,1423956,38,0,북큐브·교보문고·하이북·원스토리·알라딘 외6곳 [11곳],북큐브 상세매출 2026-1~2026-1 (1).xlsx
검토대상,넥스트레벨스튜디오,넥스트레벨스튜디오,9707644,51,0,무툰·원스토리·하이북·판무림·모픽 외7곳 [12곳],원스토어 1월 정산내역_20260617_142054.xlsx
검토대상,Mare,늘솔북스,9408,8,0,피우리·애니툰 [2곳],피우리_정산_202602.xlsx
검토대상,Tasty,늘솔북스,12110,6,0,미소설·피우리·애니툰 [3곳],미소설 1월.xls
단독출판사,늘솔북스,늘솔북스,7700,3,0,애니툰 [1곳],애니툰 2026년 01월 정산 내역_storinlab.xlsx
검토대상,늪,늘솔북스,1344,2,0,애니툰 [1곳],애니툰 26년 2월.xlsx
단독출판사,다인북스,다인북스,7200,7,0,밀리의서재 [1곳],밀리의서재 26년 2월.xls
검토대상,체리닷,닷츠미디어,58394,6,0,원스토리·피우리·북큐브·로망띠끄(단행본)·미스터블루 [5곳],원스토어 4월 정산내역_20260617_142003.xlsx
검토대상,피치닷,닷츠미디어,104019,16,0,원스토리·북큐브·피우리·로망띠끄(단행본)·미스터블루 [5곳],원스토어 4월 정산내역_20260617_142003.xlsx
검토대상,더파란스튜디오,더파란스튜디오,85599,2,0,무툰·원스토리·네이버시리즈·리디·하이북 외2곳 [7곳],무툰 26년 2월.xls
검토대상,도서출판 그레이스,도서출판 그레이스,14602,5,0,애니툰·원스토리·미스터블루 [3곳],애니툰 2026년 04월 정산 내역_storinlab.xlsx
검토대상,도서출판그레이스,도서출판 그레이스,0,1,0,미스터블루 [1곳],미스터블루_2026-04-01_2026-04-30.xlsx
검토대상,델로스,도서출판 레토,59724,4,0,모픽 [1곳],모픽_작품별_정산_202603.xlsx
검토대상,레토북스,도서출판 레토,2034927,70,0,모픽·애니툰·신영미디어·미소설·피우리 외1곳 [6곳],모픽_작품별_정산_202603.xlsx
검토대상,아르테미스,도서출판 레토,2456272,74,0,모픽·애니툰·미소설·피우리·신영미디어 외2곳 [7곳],모픽_작품별_정산_202602.xlsx
검토대상,아폴론,도서출판 레토,4158,1,0,모픽 [1곳],모픽_작품별_정산_202602.xlsx
검토대상,레드로즈,도서출판 리채,30954,10,0,로망띠끄(단행본)·미소설·피우리·신영미디어·미스터블루 [5곳],로망띠끄 26년 2월 (단행본).xls
단독출판사,도서출판 선,도서출판 선,11458085,1001,0,모픽·알라딘·애니툰·원스토리·무툰 외6곳 [11곳],모픽_작품별_정산_202603.xlsx
검토대상,9.79117E+12,도서출판 윤송,3780,1,0,원스토리 [1곳],원스토어 4월 정산내역_20260617_142003.xlsx
검토대상,도서출판윤송,도서출판 윤송,4333,2,0,피우리·원스토리 [2곳],피우리_정산_202603.xlsx
검토대상,빈백바스켓,도서출판 윤송,1960,2,0,원스토리·피우리 [2곳],원스토어 4월 정산내역_20260617_142003.xlsx
검토대상,파인컬렉션,도서출판 윤송,410713,128,0,원스토리·피우리·애니툰·미소설 [4곳],원스토어 4월 정산내역_20260617_142003.xlsx
검토대상,요미북스,도서출판 정연,411078,45,0,원스토리·애니툰·미소설 [3곳],원스토리 26년 2월.xlsx
