분류,레이블,유력출판사,근거,작품수,정산액,유통사,대표작가,대표작품,대표원본파일
작가명오입력,배파,이플북스,레이블=작가명; 작가교차 이플북스:4,1,2520,원스토리,배파,자꾸만 넣고 싶어,원스토리 26년 2월.xlsx
작가명오입력,리즐리안,희우,레이블=작가명; 작가교차 희우:5,1,700,로망띠끄(단행본),리즐리안,[BL] 형은 나만의 것,로망띠끄 26년 3월 (단행본).xls
유력(작품매칭),엔플러스,AP북스,같은작품 AP북스:1,114,64713,미스터블루·하이북,"김현, 천주봉, 야호",갈구던 여선생을 [단행본] / 골방에서 친구남편한테 [단행본],미스터블루 26년 2월.xlsx
유력(작품매칭),Miyoo,에이피북스,"같은작품 에이피북스:6, AP북스:1",36,12740,하이북,"민작가, 박PD",비상계단 옆집마누라 / 행복한 과외선생,하이북 4월.xls
유력(작품매칭),마미,스토리야,같은작품 스토리야:9,1,10647,모픽,마미,대리 남편,모픽_작품별_정산_202603.xlsx
유력(작품매칭),엉뚱한앙마,뿔미디어,같은작품 뿔미디어:1,1,7560,무툰·판무림,엉뚱한앙마,탈출,무툰 [정산]스토린랩__작품내역_[2026-01-01_2026-01-31].xls
추정(작가교차),도파민,래이니북스,작가교차 래이니북스:28,10,528010,로망띠끄(단행본)·로망띠끄(연재)·미소설·신영미디어·애니툰·피우리,"가령, 드문, 달온화",양밥 (삽화본) (외전) / 양밥 (삽화본) 1권,오망띠끄 4월_연재.xls
추정(작가교차),오드캣,이플북스,"작가교차 이플북스:35, 사슴의풀밭:32, 희우:15",64,229900,원스토리,"딸기휘핑크림, 이유리, 쿵떡쿵떡",베란다 습관 / 혈월의 신부 1권,원스토어 4월 정산내역_20260617_142003.xlsx
추정(작가교차),어필,플로린,"작가교차 플로린:46, 뿔미디어:3",4,50680,미소설·신영미디어·애니툰,"도영, 차현, 유재희",발칙한 상사 / 발칙한 상사 1,신영미디어 20260101_20260131.xls
추정(작가교차),블래이,뿔미디어,"작가교차 뿔미디어:54, 희우:19, 닷츠미디어:11",21,35602,로망띠끄(단행본)·미소설·신영미디어·애니툰·피우리,"헤로니이, 칵테로니, 미미99",[BL] 소꿉친구의 감금 조교 2권 / [BL] 소꿉친구의 감금 조교 1권,로망띠끄 26년 3월 (단행본).xls
추정(작가교차),리즈,미담컴퍼니,"작가교차 미담컴퍼니:29, 웅진씽크빅:26, 래이니북스:3",2,12040,신영미디어,"강차윤, 강희자매",짝사랑을 끝내려고 무리했다가 / 대공의 미친 집착 [외전증보판] 1권,신영미디어 26년 3월.xls
추정(작가교차),레테나잇,희우,"작가교차 희우:10, 도서출판 윤송:7, 도서출판 리채:1",1,4200,신영미디어·피우리,호드래곤,수상한 어플을 클릭했더니 첫사랑이 나왔다,신영미디어 26년 3월.xls
미상,시드북스,,데이터 단서 없음,25,61110,미소설·애니툰·피우리·하이북,"최지인, 가언, 우담",아카데미 마법천재로 사는 법 / 배신 기사의 유쾌한 신의,피우리_정산_202603.xlsx
미상,아라벨,,데이터 단서 없음,1,50003,교보문고·로망띠끄(연재)·미소설·미스터블루·예스24,객,조직 간부의 소꿉친구가 신입으로 들어왔다 (15세 이용가) 1 / [BL] 조직 간부의 소꿉친구가 신입으로 들어왔다 [15세 이용가],예스24 1월.xls
미상,드림노블,,데이터 단서 없음,1,8400,북큐브,"김경진, 윤민혁",작전명 충무 1 / 작전명 충무 2,북큐브 상세매출 2026-1~2026-1 (1).xlsx
미상,더 색,,데이터 단서 없음,1,2450,북큐브,"박연필, 배배, 백목란, 사슴묘묘, 지혜리, 츄라이, 핥핥",신 앞에서 이러면 안 되는데,북큐브 상세매출 2026-4~2026-4 (1).xlsx
미상,혜리썸,,데이터 단서 없음,1,1050,북큐브,지혜리,"배덕한 어머니, 레시아",북큐브 상세매출 2026-1~2026-1 (1).xlsx
미상,밝은누리정보,,데이터 단서 없음,3,280,하이북,"류인성, 메이리","옆집 신혼부부 / 섹스, 그 화려한 반란",하이북 26년 3월.xls
미상,디콘북,,데이터 단서 없음,1,189,미소설,낙랑객,군주의 귀환,미소설 4월.xls
미상,딱지,,데이터 단서 없음,1,0,밀리의서재,김현주 지음,행운당고의 비밀,밀리의서재 26년 3월.xls
미상,라이트노벨,,데이터 단서 없음,1,0,미스터블루,카미츠키 레이니/nauribon,나노카의 식신 [단행본],미스터블루_2026-01-01_2026-01-31.xlsx
미상,스토리뱅크,,데이터 단서 없음,1,0,미스터블루,이원호,신의 전설 [단행본],미스터블루 26년 2월.xlsx
미상,아름다운날,,데이터 단서 없음,1,0,미스터블루,지영,렌 [단행본],미스터블루_2026-01-01_2026-01-31.xlsx
