판매일,작품 ID,분류,작품명,작가명,레이블,회차 판매가 (원),총 사용 건수 (건),초기 무료 회차,에다무,광고보면 무료,신규 혜택 대여,유상 대여,소장,총 판매 건수 (건),광고보면 무료 판매금액 (원),광고보면 무료 운영 수수료 (원),소장 판매금액 (원),소장 운영 수수료 (원),대여 판매금액 (원),대여 운영 수수료 (원),판매 금액 합계 (원),운영 수수료 합계 (원),정산 금액 합계 (원)
2025-11-01,1419,웹소설,끝정,벚꽃그리고,플로린,100,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-01,2228,웹소설,술김에 황후가 되었습니다,거주자,사막여우,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-01,2422,웹소설,THE 런웨이,Hirachell,사막여우,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-01,2423,웹소설,베드 파트너,이로이,사막여우,100,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-01,2511,웹소설,내가 M이라니,죄송한취향,시계토끼,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-01,2513,웹소설,네 마리 포식자들,하얀백지,시계토끼,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-01,2597,웹소설,나를 집어삼킬 짐승,화연 윤희수,하트퀸,100,4,1,0,0,0,0,3,3,0,0,300,90,0,0,300,90,210
2025-11-01,2637,웹소설,사 온 남편,피야수,하트퀸,100,2,0,0,0,0,0,2,2,0,0,200,60,0,0,200,60,140
2025-11-01,2643,웹소설,에피소드,유이세스,하트퀸,100,55,42,0,0,0,0,13,13,0,0,1300,390,0,0,1300,390,910
2025-11-01,3180,웹소설,온전하지 못한 관계,하루가 너무 길다,사막여우,100,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-01,3181,웹소설,뜨겁게 박히다,느린돌,사막여우,100,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-01,3184,웹소설,몰락,최강토끼,사막여우,100,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-01,3185,웹소설,제발 멈추지 말아요 ,우아진,사막여우,100,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-01,3555,웹소설,남편과 파트너 사이,느린돌,사막여우,100,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-01,3804,웹소설,BL 웹드라마의 남주가 되었다.,쪼꼬빔,M블루,100,2,0,0,0,0,0,2,2,0,0,200,60,0,0,200,60,140
2025-11-01,4734,웹소설,사신,글작소,마야마루출판사,100,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-01,4801,웹소설,모노크롬 루머,치율,M블루,100,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-01,6196,웹소설,흔적도 없이,짙은,사막여우,100,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
