"판매/취소일시","ItemId","제목","판매형태","정가","판매가","정산액","원주문일시","저자명","출판사명","정산처명","ISBN","UCI","CID"
"2025-11-01 00:08:38","366404151","충무공의 아들이 되었다 04","판매","3,000","3,000","2,100","","보헤미아","매드햇","스토린랩",=T("9791137022218"),=T(""),"B023101"
"2025-11-01 00:23:49","370422216","하녀 마리엔 1","판매","3,000","3,000","2,100","","온검","라이즈","스토린랩",=T("9791173016103"),=T(""),"D085974"
"2025-11-01 00:39:14","375539692","조폭의 지갑에 손을 대면","판매","1,000","1,000","700","","문토깽","로튼로즈","스토린랩",=T("9791173018732"),=T(""),"D158936"
"2025-11-01 00:39:14","375539704","조폭아저씨들한테 끌려오면","판매","1,000","1,000","700","","데일리","로튼로즈","스토린랩",=T("9791173018299"),=T(""),"D158941"
"2025-11-01 01:00:00","354727924","성녀 추행","판매","1,000","1,000","700","","야뮬","로튼로즈","스토린랩",=T("9791173011658"),=T(""),"k440335"
"2025-11-01 01:00:00","325784546","레이나의 은밀한 가정 교육 5 (완결)","판매","1,000","1,000","700","","숨숨","로튼로즈","스토린랩",=T("9791170890027"),=T(""),"k146938"
"2025-11-01 01:15:07","375539760","오홍련 2","대여","900","900","630","","조동재","에필로그","스토린랩",=T("9791170939160"),=T(""),"D160901"
"2025-11-01 01:21:50","375422014","[세트] 무브먼트 (총3권/완결)","대여","7,560","7,560","5,292","","모카혜진","하트퀸","스토린랩",=T("9791171502561"),=T(""),""
"2025-11-01 03:19:11","341292446","한눈판 카린이 받는 벌 2 (완결)","판매","1,000","1,000","700","","숨숨","로튼로즈","스토린랩",=T("9791170897347"),=T(""),"k321449"
"2025-11-01 03:28:36","329639686","나를 키운 아저씨들","판매","1,000","1,000","700","","김뭉니","로튼로즈","스토린랩",=T("9791170892465"),=T(""),"k197449"
"2025-11-01 03:28:36","320896055","사생아 황녀는 매일 밤 1","판매","1,000","1,000","700","","김뭉니","레드라인(해피북스투유)","스토린랩",=T("9791164799794"),=T(""),"k118916"
"2025-11-01 03:28:36","320896052","사생아 황녀는 매일 밤 2 (완결)","판매","1,000","1,000","700","","김뭉니","레드라인(해피북스투유)","스토린랩",=T("9791164799787"),=T(""),"k118917"
"2025-11-01 03:28:36","322800457","부도덕한 아빠 친구 (외전)","판매","1,000","1,000","700","","김뭉니","레드라인(해피북스투유)","스토린랩",=T("9791170960010"),=T(""),"k125998"
"2025-11-01 03:28:36","286453915","[세트] 타락 찬미 (총4권/완결)","판매","12,800","12,800","8,960","","하얀백지","시계토끼","스토린랩",=T("9791164098576"),=T(""),""
"2025-11-01 03:28:36","303406899","부도덕한 아빠 친구","판매","1,000","1,000","700","","김뭉니","레드라인(해피북스투유)","스토린랩",=T("9791164797646"),=T(""),"N193328"
"2025-11-01 03:28:36","353710191","[세트] 불친절한 새 오빠 (총4권/완결)","판매","4,000","4,000","2,800","","김뭉니","레드라인(해피북스투유)","스토린랩",=T("9791170962052"),=T(""),""
"2025-11-01 03:28:36","368002808","소꿉친구들과 잔다는 건","판매","1,000","1,000","700","","김뭉니","로튼로즈","스토린랩",=T("9791173017278"),=T(""),"D066122"
"2025-11-01 03:28:36","362974936","친구 아빠와 잔다는 건","판매","1,000","1,000","700","","김뭉니","로튼로즈","스토린랩",=T("9791173014437"),=T(""),"B044592"
"2025-11-01 04:16:00","339671334","[GL] 소매치기 감금 조교","판매","2,000","2,000","1,400","","한윤호","로튼로즈","스토린랩",=T("9791170898016"),=T(""),"k307367"
"2025-11-01 04:23:58","374804313","회귀한 포수가 160km를 던짐 2","대여","900","900","630","","전성기","에필로그","스토린랩",=T("9791170939054"),=T(""),"D093736"
"2025-11-01 07:44:09","375514443","다정한 친구 오빠","판매","1,000","1,000","700","","데일리","로튼로즈","스토린랩",=T("9791173018305"),=T(""),"D157991"
"2025-11-01 07:44:09","375539698","암캐가 된 여배우 1","판매","1,000","1,000","700","","항시흥분중","로튼로즈","스토린랩",=T("9791173018107"),=T(""),"D158943"
"2025-11-01 07:44:09","374549984","여대생은 훈남 마사지샵에서 연속XX절정","판매","1,000","1,000","700","","라일락곰젤리","로튼로즈","스토린랩",=T("9791173018695"),=T(""),"D151157"
"2025-11-01 09:19:57","375169556","광애(狂愛)","판매","1,000","1,000","700","","자앗","로튼로즈","스토린랩",=T("9791175580794"),=T(""),"D157990"
"2025-11-01 09:31:31","372706794","할아버지께 얼른 보여드려","판매","1,000","1,000","700","","야뮬","로튼로즈","스토린랩",=T("9791173018787"),=T(""),"D131876"
