작품명,작품코드,작가명,단가,판매건수,비율,정산금액,정산일
"[BL] 인턴",1297268,[송루나],100,4,60%,240,2025.12.06
"[BL] 못 말리는 후궁 - 후궁시리즈 1부",1320413,[엘라온],100,26,60%,1560,2025.12.06
"[BL] 비밀스러운 후궁 - 후궁시리즈 4부",1343783,[엘라온],100,52,60%,3120,2025.12.06
"대물 스카우터",1370447,[휴도],100,20,60%,1200,2025.12.06
"[BL] 교합",1372376,[[[마뇽]]],200,3,60%,360,2025.12.06
"[BL] 손톱과 송곳니",1380791,[[사보]],100,1,60%,60,2025.12.06
"마조히스트의 품격",1387894,[[스카이트리]],100,16,60%,960,2025.12.06
"별들의 게임",1407809,[[비류수]],100,11,60%,660,2025.12.06
"[BL] 정부",1408810,[[[마뇽]]],100,1,60%,60,2025.12.06
"문과라도 안 죄송한 이세계로 감",1424034,정수읠,100,107,60%,6420,2025.12.06
"사제님의 비밀스런 교육(Dark)",1484295,[김연서],100,19,60%,1140,2025.12.06
"[연재] 타락 찬미",1594173,[[[하얀백지]]],100,3,60%,180,2025.12.06
"택견으로 발롱도르",1640701,경제설.,100,36,60%,2160,2025.12.06
"천재 포수가 선수도 잘 키움",1642024,경제설.,100,1,60%,60,2025.12.06
"만능돌로 살아가는 법",1656808,강교문.,100,10,60%,600,2025.12.06
"프랑스 해군제독이 되었다",1662383,알자스.,100,360,60%,21600,2025.12.06
" 로또 1등으로 유통재벌",1682531,[무정호],100,1,60%,60,2025.12.06
"삼국지: 조조의 장남이 되었다",1684311,[검은방],100,75,60%,4500,2025.12.06
"증권 재벌의 천재 손자가 되었다",1693062,번파,100,55,60%,3300,2025.12.06
"경찰이 너무 강함",1695833,[[[김기세]]],100,20,60%,1200,2025.12.06
"참교육에 미친 천재 타자",1720612,사키만자루,100,4,60%,240,2025.12.06
"공작님과 이러면 안 되는 걸 알지만",1724159,채정연.,100,6,60%,360,2025.12.06
"신이 내린 투자 천재",1735089,해달벗.,100,32,60%,1920,2025.12.06
"천재 투수가 170km를 숨김",1755586,단팥빵소년.,100,27,60%,1620,2025.12.06
"나는 스파이, 아이돌이다",1756594,소견,100,5,60%,300,2025.12.06
"쉴 틈 없이 사랑해주세요",1756657,하루가너무길다,100,2,60%,120,2025.12.06
"전직 절대자는 아카데미 펫 관리자",1760524,[말랑부들].,100,10,60%,600,2025.12.06
"삼국지: 손책의 장남이 되었다",1761398,[검은방],100,265,60%,15900,2025.12.06
"막내 아들이 국가급 군사력을 물려받음",1770714,라메카,100,1,60%,60,2025.12.06
"검은머리 천재 재벌",1782038,번파,100,2,60%,120,2025.12.06
"메디시스가의 오메가",1787968,코네꼬.,100,3,60%,180,2025.12.06
"내 사전에 군납비리란 없다",1791786,사키만자루,100,164,60%,9840,2025.12.06
"10라운더의 기적",1792703,극찬,100,26,60%,1560,2025.12.06
"충무공의 아들이 되었다",1793207,[보헤미아],100,3041,60%,182460,2025.12.06
"사천당가 삼공자의 목표는 자연사",1793715,지인.,100,5,60%,300,2025.12.06
"이중 이혼 합의서",1797966,[김민],100,1,60%,60,2025.12.06
"천조국 건스미스가 되었다",1803804,서평.,100,25,60%,1500,2025.12.06
"가난한 남편이 가문을 숨김",1808579,슬라.,100,3,60%,180,2025.12.06
"성기사를 삼킨 마녀",1816851,김캐럿.,100,319,60%,19140,2025.12.06
"소환술사는 맞는데, 이상한 걸 소환합니다",1819192,[룬명],100,1,60%,60,2025.12.06
"다시 사는 패션 천재",1820178,퇴근빌런.,100,25,60%,1500,2025.12.06
"이 사랑에서 빠지겠습니다",1823811,라솜브라데라루나,100,139,60%,8340,2025.12.06
"기갑전선에서 살아가는 법",1831986,감튀이이이,100,161,60%,9660,2025.12.06
"천재 뮤지션이 되었다",1831995,한우라면,100,1,60%,60,2025.12.06
"신 6.25 전쟁",1832177,[[비류수]],100,2,60%,120,2025.12.06
"아드님 말고 아버님이요",1833407,[코로나],100,2,60%,120,2025.12.06
"폭군의 애완동물이 되었다",1833412,[[견우]],100,201,60%,12060,2025.12.06
"용살자의 클래스가 다른 회귀",1833419,헥토파스칼.해경,100,967,60%,58020,2025.12.06
"신화의 전장",1833421,[박정수],100,4,60%,240,2025.12.06
"천재 공학자는 투자가 너무 쉽다",1834299,toAny,100,2,60%,120,2025.12.06
"스팀펑크 대한",1834300,[빅타이거],100,29,60%,1740,2025.12.06
"비자금 사냥꾼",1834301,[파라모르템],100,40,60%,2400,2025.12.06
"축구천재는 명장이 됩니다",1834302,[[[주노드]]],100,12,60%,720,2025.12.06
철혈검신,1834443,[[해경]],100,334,60%,20040,2025.12.06
"잇 미, 스위티(Eat me, sweetie)",1835380,[달혜나],100,14,60%,840,2025.12.06
"오타쿠인 나에게 아이돌이 반한 건에 대하여",1835387,이벽,100,57,60%,3420,2025.12.06
"서문세가 천재 망나니",1835392,늦출,100,24,60%,1440,2025.12.06
북해무신,1835396,[정천],100,523,60%,31380,2025.12.06
"재벌에서 광복군까지",1838773,빛나는구름,100,26554,60%,1593240,2025.12.06
