공급사,작품유형,작품번호,작품명,레이블,작가,사용코인,콘텐츠 매출금액,결제수수료,정산 대상금액,콘텐츠 정산금액_면세,콘텐츠 정산금액_과세,콘텐츠 정산금액
스토린랩,웹소설,11006,수치스러운 밤,사막여우,최고진,304400,304400,77035.5,227364.5,159143,0,159143
스토린랩,웹소설,11079,천하제일 상단주,ARC,지인,202400,202400,44886.9,157513.1,110252,0,110252
스토린랩,웹소설,11036,남궁세가 재벌 만들기,ARC,종이노트,119200,119200,27349.5,91850.5,64288,0,64288
스토린랩,웹소설,11020,사천당가 삼공자의 목표는 자연사,ARC,지인,91500,91500,22911,68589,48008,0,48008
스토린랩,웹소설,11025,살인지소,ARC,지인,87200,87200,18897.6,68302.4,47806,0,47806
스토린랩,웹소설,11091,다시 사는 패션 천재,ARC,퇴근빌런,82800,82800,24199.2,58600.8,41019,0,41019
스토린랩,웹소설,11083,회귀해서 기사멸조,ARC,슬픈딸기우유,66500,66500,17520.3,48979.7,34281,0,34281
스토린랩,웹소설,11037,천재 배우가 가면을 숨김,ARC,엔진,63300,63300,10980,52320,36618,0,36618
스토린랩,웹소설,11035,십파일방,ARC,지인,54500,54500,7725.9,46774.1,32727,0,32727
스토린랩,웹소설,11076,비원정전,ARC,지인,48000,48000,12744.6,35255.4,24677,0,24677
스토린랩,웹소설,11105,내 안에 천재 배우,ARC,강교문,44300,44300,13290,31010,21707,0,21707
스토린랩,웹소설,10658,회귀무사가 좀 밝힘,매드햇,월하무객,38100,38100,5983.2,32116.8,22477,0,22477
스토린랩,웹소설,11030,다시 사는 하오문도,ARC,지인,35200,35200,2576.7,32623.3,22828,0,22828
스토린랩,웹소설,11101,맥주 장사로 인생 역전,ARC,장간조,33800,33800,4986.9,28813.1,20167,0,20167
스토린랩,웹소설,11008,네가 망가지길 바라,사막여우,파민쿠,25100,25100,7503.3,17596.7,12317,0,12317
스토린랩,웹소설,10059,증권 재벌의 천재 손자가 되었다,매드햇,번파,24800,24800,4956.9,19843.1,13887,0,13887
스토린랩,웹소설,11023,대뜸 천마로 착각당했다,ARC,밍고쟝,21100,21100,6330,14770,10339,0,10339
스토린랩,웹소설,9733,불순한 탐닉,하트퀸,셔틀,19067.47,19067.47,4950,12833.735,8085,1251,9336
스토린랩,웹소설,10671,멸망한 세계의 시간 능력자,매드햇,월천,17600,17600,5280,12320,8624,0,8624
스토린랩,웹소설,11029,아기천마 수신호위,ARC,지인,17600,17600,4692.6,12907.4,9034,0,9034
스토린랩,웹소설,11088,천하제일 객잔주,ARC,참새친구,17000,17000,4672.8,12327.2,8628,0,8628
스토린랩,웹소설,10666,회귀자의 재벌 설계법,매드햇,꺼믄눈썹,16800,16800,4559.4,12240.6,8568,0,8568
스토린랩,웹소설,11024,낯가리는 천마의 찐친이 되었다,ARC,지인,16000,16000,3732,12268,8587,0,8587
스토린랩,웹소설,10065,미국 로또로 역대급 재벌!,매드햇,강바기,14300,14300,471.9,13828.1,9676,0,9676
스토린랩,웹소설,10098,마지막 아내,하트퀸,김민,12100,12100,399.3,11700.7,8187,0,8187
스토린랩,웹소설,10649,고용주님 뜻대로,하트퀸,서아랑,11900,11900,2715.6,9184.4,6427,0,6427
스토린랩,웹소설,11102,아포칼립스 속 집사가 되었다,ARC,끽끽(噄噄),11400,11400,3420,7980,5586,0,5586
스토린랩,웹소설,10662,아르단 연대기,매드햇,보헤미아,11200,11200,3360,7840,5488,0,5488
스토린랩,웹소설,10651,간헐적 파트너,하트퀸,늴리리야,10400,10400,3120,7280,5096,0,5096
스토린랩,웹소설,8925,환생금룡,히어로블,흑설검,9700,9700,2910,6790,4753,0,4753
스토린랩,웹소설,11782,중산(重山),매드햇,필환,9100,9100,300.3,8799.7,6159,0,6159
스토린랩,웹소설,10676,검은 머리 천재 감독,매드햇,블라님,9000,9000,2700,6300,4410,0,4410
스토린랩,웹소설,10642,우리 해피엔딩일까요?,하트퀸,하새옹,8800,8800,2533.2,6266.8,4386,0,4386
스토린랩,웹소설,9751,로맨스의 종말,하트퀸,반유훤,8200,8200,2460,5740,4018,0,4018
스토린랩,웹소설,11047,판타지 속 공무원으로 살아남기,ARC,농구광,7800,7800,1325.4,6474.6,4532,0,4532
스토린랩,웹소설,10677,포식한 던전으로 사상 최강,매드햇,눌프,6900,6900,227.7,6672.3,4669,0,4669
스토린랩,웹소설,8968,멈출 수 없는,하트퀸,위영,5500,5500,181.5,5318.5,3722,0,3722
스토린랩,웹소설,10094,갖기 위해선 무엇이든,하트퀸,빵곰탕,4900,4900,161.7,4738.3,3316,0,3316
스토린랩,웹소설,8941,폭풍의 한반도,매드햇,비류수,4700,4700,155.1,4544.9,3179,0,3179
스토린랩,웹소설,7660,검은머리 천재 재벌,매드햇,번파,4600,4600,1353.3,3246.7,2272,0,2272
스토린랩,웹소설,9716,바람을 다스리다,사이렌,프로매니아,4100,4100,242.1,3857.9,2697,0,2697
스토린랩,웹소설,7835,침대 위의 대표님,하트퀸,왕기대,3831.952,3831.952,13.2,2102.777,270,1681,1951
스토린랩,웹소설,8918,대사부 일풍,히어로블,오월성,3100,3100,476.1,2623.9,1833,0,1833
스토린랩,웹소설,9726,살문,매드햇,김기세,3100,3100,102.3,2997.7,2097,0,2097
스토린랩,웹소설,9725,백수 재벌의 환생 라이프,매드햇,사키만자루,2800,2800,279.3,2520.7,1762,0,1762
스토린랩,웹소설,10678,천재 뮤지션이 되었다,매드햇,한우라면,2500,2500,750,1750,1225,0,1225
스토린랩,웹소설,11078,소설 속 무림이 0.1배속,ARC,지인,2400,2400,693.3,1706.7,1194,0,1194
스토린랩,웹소설,7823,짐승의 심연,하트퀸,비향,2244.527,2244.527,6.6,1215.665,134,995,1129
스토린랩,웹소설,11108,망돌 눈엔 하트가 보입니다,ARC,김샤모,2200,2200,660,1540,1078,0,1078
스토린랩,웹소설,9746,이 결혼을 원한 건 너였어,하트퀸,김민,2100,2100,630,1470,1029,0,1029
스토린랩,웹소설,11043,아포칼립스의 녹색인간,ARC,바질이,2100,2100,630,1470,1029,0,1029
스토린랩,웹소설,7651,"마검, 화산 가다",매드햇,겨울반디,1900,1900,62.7,1837.3,1276,0,1276
스토린랩,웹소설,8964,맛보게 해줘,하트퀸,무하,1900,1900,62.7,1837.3,1286,0,1286
스토린랩,웹소설,8931,제갈무신,매드햇,월하무객,1800,1800,540,1260,882,0,882
스토린랩,웹소설,11097,천조국 건스미스가 되었다,ARC,서평,1800,1800,540,1260,882,0,882
스토린랩,웹소설,10062,경찰이 너무 강함,매드햇,김기세,1600,1600,480,1120,784,0,784
스토린랩,웹소설,10100,최악의 아내가 되어줘,하트퀸,이라에리,1600,1600,480,1120,784,0,784
스토린랩,웹소설,10650,굴러 들어온 남편,하트퀸,바가지,1100,1100,169.8,930.2,650,0,650
스토린랩,웹소설,9717,고아가 돈을 너무 잘 범,사이렌,걸다백,1000,1000,300,700,490,0,490
스토린랩,웹소설,10673,무림맹주 죽이기,매드햇,필환(筆煥),800,800,240,560,392,0,392
스토린랩,웹소설,11033,역전사제,ARC,은인,800,800,159.9,640.1,448,0,448
스토린랩,웹소설,11100,재벌집 3세가 전생을 각성함,ARC,과연그럴까,700,700,49.8,650.2,454,0,454
스토린랩,웹소설,10647,내 비서의 주인,하트퀸,김민,500,500,150,350,245,0,245
스토린랩,웹소설,10665,그라운드의 블랙홀,매드햇,사키만자루,400,400,13.2,386.8,270,0,270
스토린랩,웹소설,7654,십단금,히어로블,흑설검,200,200,60,140,98,0,98
스토린랩,웹소설,11084,지존무당,ARC,의진,100,100,30,70,49,0,49
스토린랩,웹소설,11098,전직 절대자는 아카데미 펫 관리자,ARC,말랑부들,100,100,30,70,49,0,49
