판매일,작품 ID,분류,작품명,작가명,레이블,회차 판매가 (원),총 사용 건수 (건),초기 무료 회차,에다무,광고보면 무료,신규 혜택 대여,유상 대여,소장,총 판매 건수 (건),광고보면 무료 판매금액 (원),광고보면 무료 운영 수수료 (원),소장 판매금액 (원),소장 운영 수수료 (원),대여 판매금액 (원),대여 운영 수수료 (원),판매 금액 합계 (원),운영 수수료 합계 (원),정산 금액 합계 (원)
2026-03-01,1419,웹소설,끝정,벚꽃그리고,플로린,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-01,1541,웹소설,만져도 돼?,차가울(미캉),플로린,100,5,3,0,0,0,0,2,2,0,0,200,60,0,0,200,60,140
2026-03-01,2511,웹소설,내가 M이라니,죄송한취향,시계토끼,100,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-01,2574,웹소설,[BL] 매화장,이담,체셔,100,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-01,2639,웹소설,삼시색기,달그림 ,하트퀸,100,4,0,0,0,0,0,4,4,0,0,400,120,0,0,400,120,280
2026-03-01,2643,웹소설,에피소드,유이세스,하트퀸,100,11,4,0,0,0,0,7,7,0,0,700,210,0,0,700,210,490
2026-03-01,3006,웹소설,에피소드 [1부-2부],유이세스,하트퀸,4000,1,0,0,0,0,0,1,1,0,0,4000,1200,0,0,4000,1200,2800
2026-03-01,3181,웹소설,뜨겁게 박히다,느린돌,사막여우,100,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-01,3191,웹소설,당신이 나를 잊은 줄 알았다,꽃니랑,사막여우,100,7,4,0,0,1,0,2,2,0,0,200,60,0,0,200,60,140
2026-03-01,4801,웹소설,모노크롬 루머,치율,M블루,100,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-01,12084,웹소설,메디시스가의 오메가,코네꼬,야간비행,100,9,0,0,0,0,0,9,9,0,0,900,270,0,0,900,270,630
2026-03-01,20493,웹소설,[BL] Repeat Mark: 리핏 마크,카고아기,M블루,100,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-01,20580,웹소설,힘을 숨겨도 공녀가 제일 강함,설윤영,앨리스,100,2,0,0,0,0,0,2,2,0,0,200,60,0,0,200,60,140
2026-03-02,1541,웹소설,만져도 돼?,차가울(미캉),플로린,100,5,2,0,0,0,0,3,3,0,0,300,90,0,0,300,90,210
2026-03-02,2511,웹소설,내가 M이라니,죄송한취향,시계토끼,100,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-02,2643,웹소설,에피소드,유이세스,하트퀸,100,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-02,3191,웹소설,당신이 나를 잊은 줄 알았다,꽃니랑,사막여우,100,1,0,0,0,0,0,1,1,0,0,100,30,0,0,100,30,70
2026-03-02,4801,웹소설,모노크롬 루머,치율,M블루,100,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-02,5216,웹소설,레이디 고다이바,페일핑크,달밤,100,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
