"판매/취소일시","ItemId","제목","판매형태","정가","판매가","정산액","원주문일시","저자명","출판사명","정산처명","ISBN","UCI","CID"
"2026-01-20 13:43:35","98277273","당신의 세상에서 1 (무삭제 외전증보판)","판매","0","0","0","2020-11-28 22:06:59","문언희","시크릿e북","",=T("9791155637821"),=T(""),""
"2026-01-20 13:43:05","189861482","모래신부 (체험판)","판매","0","0","0","2020-12-16 22:02:50","Magoing","시계토끼","스토린랩",=T("9791164090068"),=T(""),""
"2026-01-05 23:38:59","379511327","외꺼풀이 되고 싶었다","판매","-3,300","-2,970","-2,079","2025-12-21 23:50:06","외정","하트퀸","스토린랩",=T("9791171502875"),=T(""),"D108868"
"2026-01-18 20:20:30","379511327","외꺼풀이 되고 싶었다","판매","-3,300","-2,970","-2,079","2025-12-31 19:47:33","외정","하트퀸","스토린랩",=T("9791171502875"),=T(""),"D108868"
"2026-01-01 00:06:22","364580958","[세트] 유혹의 속삭임 (외전 포함) (총3권/완결)","판매","3,500","3,500","2,450","","김랑","하트퀸","스토린랩",=T("9791164973828"),=T(""),""
"2026-01-01 00:09:59","235876501","[세트] 달 없는 밤 (총2권/완결)","판매","5,000","5,000","3,500","","신윤희","시계토끼","스토린랩",=T("9791164091508"),=T(""),""
"2026-01-01 00:10:03","374949660","[세트] 미스터 닥터 (총2권/완결)","판매","5,000","5,000","3,500","","김희선","하트퀸","스토린랩",=T("9791164972784"),=T(""),""
"2026-01-01 00:55:58","379920934","성X문 전담 스파이","판매","1,100","1,100","770","","강초초","로튼로즈","스토린랩",=T("9791175581357"),=T(""),"D182780"
"2026-01-01 01:42:50","365291583","아저씨가 이사가 되어 돌아왔다","판매","1,000","1,000","700","","메리배드","로튼로즈","스토린랩",=T("9791173014949"),=T(""),"D013081"
"2026-01-01 02:37:36","368980689","여학교의 체벌실","판매","1,000","1,000","700","","이상한 꼬마","로튼로즈","스토린랩",=T("9791173016066"),=T(""),"D076399"
"2026-01-01 02:51:45","361607715","조폭 맛집","판매","1,300","1,300","910","","황금뽀찌","로튼로즈","스토린랩",=T("9791173013553"),=T(""),"B032842"
"2026-01-01 03:10:20","311047220","더블","판매","11,200","11,200","7,840","","정해연","해피북스투유","스토린랩",=T("9791164798919"),=T(""),"E105412"
"2026-01-01 08:00:40","354969366","[GL] 미친X또라이","판매","1,000","1,000","700","","떫음","로튼로즈","스토린랩",=T("9791173012617"),=T(""),"k445518"
"2026-01-01 08:09:19","300774111","에피소드 3부 1","판매","4,000","4,000","2,800","","유이세스","하트퀸","스토린랩",=T("9791164977529"),=T(""),"N141080"
"2026-01-01 08:09:19","300774143","에피소드 3부 2","판매","4,000","4,000","2,800","","유이세스","하트퀸","스토린랩",=T("9791164977536"),=T(""),"N141081"
"2026-01-01 08:09:19","297670495","에피소드 2부 4","판매","4,000","4,000","2,800","","유이세스","하트퀸","스토린랩",=T("9791164977215"),=T(""),"N105319"
"2026-01-01 08:09:19","297670505","에피소드 2부 3","판매","4,000","4,000","2,800","","유이세스","하트퀸","스토린랩",=T("9791164977208"),=T(""),"N105318"
"2026-01-01 08:09:19","297670527","에피소드 2부 5","판매","3,500","3,500","2,450","","유이세스","하트퀸","스토린랩",=T("9791164977222"),=T(""),"N105320"
