판매일,작품 ID,분류,작품명,작가명,레이블,회차 판매가 (원),총 사용 건수 (건),초기 무료 회차,에다무,광고보면 무료,신규 혜택 대여,유상 대여,소장,총 판매 건수 (건),광고보면 무료 판매금액 (원),광고보면 무료 운영 수수료 (원),소장 판매금액 (원),소장 운영 수수료 (원),대여 판매금액 (원),대여 운영 수수료 (원),판매 금액 합계 (원),운영 수수료 합계 (원),정산 금액 합계 (원)
2026-04-01,1419,웹소설,끝정,벚꽃그리고,플로린,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-01,1541,웹소설,만져도 돼?,차가울(미캉),플로린,100,7,1,0,0,0,0,6,6,0,0,600,180,0,0,600,180,420
2026-04-01,2511,웹소설,내가 M이라니,죄송한취향,시계토끼,100,4,2,0,0,0,0,2,2,0,0,200,60,0,0,200,60,140
2026-04-01,2643,웹소설,에피소드,유이세스,하트퀸,100,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-01,3181,웹소설,뜨겁게 박히다,느린돌,사막여우,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-01,3191,웹소설,당신이 나를 잊은 줄 알았다,꽃니랑,사막여우,100,3,0,0,0,0,0,3,3,0,0,300,90,0,0,300,90,210
2026-04-01,4824,웹소설,대출 갚는 대마법사님,내성굴림,마야마루출판사,100,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-02,1411,웹소설,그 남자의 결혼 파트너,벚꽃그리고,플로린,100,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-02,1541,웹소설,만져도 돼?,차가울(미캉),플로린,100,1,0,0,0,0,0,1,1,0,0,100,30,0,0,100,30,70
2026-04-02,1545,웹소설,"먹어봐요, 김대리",오대리,플로린,100,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-02,1559,웹소설,비서 집착,유카,플로린,100,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-02,2511,웹소설,내가 M이라니,죄송한취향,시계토끼,100,24,22,0,0,0,0,2,2,0,0,200,60,0,0,200,60,140
2026-04-02,2643,웹소설,에피소드,유이세스,하트퀸,100,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-02,2785,웹소설,공작 부인의 50가지 티 레시피,이지하,피오렛,100,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-02,3181,웹소설,뜨겁게 박히다,느린돌,사막여우,100,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-02,3191,웹소설,당신이 나를 잊은 줄 알았다,꽃니랑,사막여우,100,2,0,0,0,0,0,2,2,0,0,200,60,0,0,200,60,140
2026-04-02,4801,웹소설,모노크롬 루머,치율,M블루,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-03,1426,웹소설,나를 찾는 밤,비설,플로린,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-03,1545,웹소설,"먹어봐요, 김대리",오대리,플로린,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-03,1565,웹소설,사랑을 돌아보다 (개정판),정희경,플로린,100,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-03,1578,웹소설,순이,천수해,플로린,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-03,1608,웹소설,오싹한 나의 후배님,벚꽃그리고,고트북스,100,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
