공급사,작품유형,작품번호,작품명,레이블,작가,사용코인,콘텐츠 매출금액,결제수수료,정산 대상금액,콘텐츠 정산금액_면세,콘텐츠 정산금액_과세,콘텐츠 정산금액
스토린랩,웹소설,13025,신검환생록,드림북스,윤민호,305800,305800,56060.58,249739.42,174791,0,174791
스토린랩,웹소설,13295,절맥검신,드림북스,그냥최씨,180200,180200,36918.6,143281.4,100288,0,100288
스토린랩,웹소설,12314,검출형산,심월(心月),일편소엽,114900,114900,33108.3,81791.7,57251,0,57251
스토린랩,웹소설,13036,모르는 아내 (15세 개정판),사막여우,소낙연,103600,103600,30439.2,73160.8,51211,0,51211
스토린랩,웹소설,13303,무적명,드림북스,백준,75100,75100,18978.9,56121.1,39281,0,39281
스토린랩,웹소설,13041,아프더라도,하트퀸,연우,66600,66600,19980,46620,32634,0,32634
스토린랩,웹소설,13302,악공전기,드림북스,문우영,45200,45200,12492,32708,22894,0,22894
스토린랩,웹소설,12315,독보강호의 귀환,심월(心月),천우한,45000,45000,13500,31500,22050,0,22050
스토린랩,웹소설,13026,어림번천검,드림북스,양홍준,27700,27700,8310,19390,13573,0,13573
스토린랩,웹소설,11772,장부귀환,매드햇,불군(不群),24800,24800,3488.4,21311.6,14917,0,14917
스토린랩,웹소설,13033,매버릭(Maverick)(15세 개정판),하트퀸,윤산,22500,22500,5361.6,17138.4,11995,0,11995
스토린랩,웹소설,11899,백룡선생,드림북스,시니어,22000,22000,1794,20206,14142,0,14142
스토린랩,웹소설,13039,헬로우 웨딩,하트퀸,백묘,16400,16400,4920,11480,8036,0,8036
스토린랩,웹소설,10059,증권 재벌의 천재 손자가 되었다,매드햇,번파,11400,11400,723.3,10676.7,7472,0,7472
스토린랩,웹소설,8964,맛보게 해줘,하트퀸,무하,9600,9600,316.8,9283.2,6497,0,6497
스토린랩,웹소설,7652,강호초출 마교주,매드햇,청염,9000,9000,2700,6300,4410,0,4410
스토린랩,웹소설,8917,역전무사,히어로블,해리(海鯉),8900,8900,2670,6230,4361,0,4361
스토린랩,웹소설,8925,환생금룡,히어로블,흑설검,8500,8500,280.5,8219.5,5748,0,5748
스토린랩,웹소설,7838,나쁜 하룻밤,하트퀸,셔틀,8300,8300,2490,5810,4067,0,4067
스토린랩,웹소설,10650,굴러 들어온 남편,하트퀸,바가지,7700,7700,2310,5390,3773,0,3773
스토린랩,웹소설,13034,나의 오만한 배우님,사막여우,솧,7600,7600,2280,5320,3724,0,3724
스토린랩,웹소설,11006,수치스러운 밤,사막여우,최고진,7300,7300,240.9,7059.1,4939,0,4939
스토린랩,웹소설,13335,서문세가 천재 망나니,드림북스,늦출,7000,7000,1646.1,5353.9,3747,0,3747
스토린랩,웹소설,7835,침대 위의 대표님,하트퀸,왕기대,6900,6900,2070,4830,3381,0,3381
스토린랩,웹소설,11055,날 구원할 하녀,사막여우,choisang,6400,6400,211.2,6188.8,4330,0,4330
스토린랩,웹소설,10647,내 비서의 주인,하트퀸,김민,6100,6100,201.3,5898.7,4128,0,4128
스토린랩,웹소설,11927,무능한 장남이 이혼 후 효도함,ARC,만슬라,5300,5300,174.9,5125.1,3586,0,3586
스토린랩,웹소설,9732,완벽한 구속,하트퀸,모리미,4700,4700,1410,3290,2303,0,2303
스토린랩,웹소설,11939,저주받은 공작의 하녀가 되었다,사막여우,서온조,4100,4100,135.3,3964.7,2774,0,2774
스토린랩,웹소설,13038,몰락 영애와 후원자의 밤 (15세 개정판),사막여우,분홍설탕,4100,4100,1230,2870,2009,0,2009
스토린랩,웹소설,10094,갖기 위해선 무엇이든,하트퀸,빵곰탕,3900,3900,128.7,3771.3,2639,0,2639
스토린랩,웹소설,12306,하오문의 절대검신,드림북스,정천,3500,3500,115.5,3384.5,2366,0,2366
