공급사,작품유형,작품번호,작품명,레이블,작가,사용코인,콘텐츠 매출금액,결제수수료,정산 대상금액,콘텐츠 정산금액_면세,콘텐츠 정산금액_과세,콘텐츠 정산금액
스토린랩(웅진),웹소설,7675,베드 파트너,,이로이,126300,126300,33297.6,93002.4,65099,0,65099
스토린랩(웅진),웹소설,7185,신이 내린 투자 천재,,해달벗,63200,63200,2085.6,61114.4,42774,0,42774
스토린랩(웅진),웹소설,7196,천재 투수가 170km를 숨김,,단팥빵소년,59500,59500,16488.3,43011.7,30105,0,30105
스토린랩(웅진),웹소설,7187,재벌 매니저는 조용히 살고 싶다,,단팥빵소년,37000,37000,7388.7,29611.3,20726,0,20726
스토린랩(웅진),웹소설,7678,쉴 틈 없이 사랑해주세요,,하루가 너무 길다,18400,18400,5520,12880,9016,0,9016
스토린랩(웅진),웹소설,7680,흔적도 없이 ,,짙은,17700,17700,584.1,17115.9,11978,0,11978
스토린랩(웅진),웹소설,7687,스며들기 전에,,하루가 너무 길다,12100,12100,3630,8470,5929,0,5929
스토린랩(웅진),웹소설,7673,달라진 건 없지만,,leda,10600,10600,3180,7420,5194,0,5194
스토린랩(웅진),웹소설,7720,이혼은 없어 ,,이로이,9700,9700,2910,6790,4753,0,4753
스토린랩(웅진),웹소설,9772,세러피스트,,leda,9100,9100,2730,6370,4459,0,4459
스토린랩(웅진),웹소설,9776,임신 사정,,짙은,8000,8000,264,7736,5414,0,5414
스토린랩(웅진),웹소설,7732,공작님과 이러면 안 되는 걸 알지만 ,,채정연,7700,7700,254.1,7445.9,5211,0,5211
스토린랩(웅진),웹소설,9764,계약 임신,,신은수,7400,7400,244.2,7155.8,5009,0,5009
스토린랩(웅진),웹소설,7184,멸문세가 소가주,,지인,4400,4400,145.2,4254.8,2977,0,2977
스토린랩(웅진),웹소설,7682,후회해도 ,,짙은,2500,2500,159.5,2340.5,1637,0,1637
스토린랩(웅진),웹소설,7692,황후지만 황제를 피하고 싶어 ,,초콜릿악마,2300,2300,75.9,2224.1,1556,0,1556
스토린랩(웅진),웹소설,7726,배덕한 스캔들,,이리안,2200,2200,72.6,2127.4,1489,0,1489
스토린랩(웅진),웹소설,9762,걸려들다,,타흔,1700,1700,510,1190,833,0,833
스토린랩(웅진),웹소설,7738,첫사랑에 미친 대공의 신부가 되었다 ,,애플97,1300,1300,390,910,637,0,637
스토린랩(웅진),웹소설,7686,남편감,,짙은,1000,1000,300,700,490,0,490
스토린랩(웅진),웹소설,7727,아내 역할,,이리안,900,900,109.8,790.2,552,0,552
스토린랩(웅진),웹소설,7728,몰락,,최강토끼,600,600,180,420,294,0,294
스토린랩(웅진),웹소설,7717,못된 오빠,,평온한,500,500,16.5,483.5,338,0,338
스토린랩(웅진),웹소설,9768,마지막 로미오,,leda,500,500,150,350,245,0,245
스토린랩(웅진),웹소설,7183,천하제일인 환생했다,,우태진,400,400,13.2,386.8,270,0,270
스토린랩(웅진),웹소설,7725,언니의 첫날밤을 훔쳤다,,느린돌,300,300,9.9,290.1,203,0,203
스토린랩(웅진),웹소설,9763,결혼 사유,,짙은,300,300,9.9,290.1,202,0,202
스토린랩(웅진),웹소설,7182,"검귀, 매화",,의진,200,200,6.6,193.4,134,0,134
스토린랩(웅진),웹소설,7684,차 비서가 탐나면,,이봄아,200,200,60,140,98,0,98
스토린랩(웅진),웹소설,7730,나쁜 후배,,이리안,100,100,30,70,49,0,49
스토린랩(웅진),웹소설,9767,버린 남편을 주웠다,,김주원,100,100,30,70,49,0,49
