작품명,작품코드,작가명,단가,판매건수,비율,정산금액,정산일
"야! 하도다",1310562,[서희수],100,11,60%,660,2026.05.06
"[BL] 사로잡힌 후궁 - 후궁시리즈 2부",1329728,[엘라온],100,5,60%,300,2026.05.06
"[BL] 교합",1372376,[[[마뇽]]],200,1,60%,120,2026.05.06
"[BL] 손톱과 송곳니",1380791,[[사보]],100,42,60%,2520,2026.05.06
"개 셋",1387870,[FROM나인],100,6,60%,360,2026.05.06
"마조히스트의 품격",1387894,[[스카이트리]],100,9,60%,540,2026.05.06
"문과라도 안 죄송한 이세계로 감",1424034,정수읠,100,8,60%,480,2026.05.06
"폭풍의 한반도",1443951,[[비류수]],100,7,60%,420,2026.05.06
"광풍의 대륙에서",1482059,[[비류수]],100,126,60%,7560,2026.05.06
"[연재] 짜릿한 회귀로 역대급 재벌!",1544950,[강바기],100,9,60%,540,2026.05.06
"[연재] 강탈의 군주",1557051,[[흰백작]],100,3,60%,180,2026.05.06
"[연재] 전역인 줄 알았는데 종말이었다",1557067,A팀,100,13,60%,780,2026.05.06
"삼국지 : 유선의 동생이 되었다",1635081,탈닌.,100,178,60%,10680,2026.05.06
"안 보이는 투명츄 (개정판)",1647719,[고하솜],100,31,60%,1860,2026.05.06
"재벌 사위 말고 재벌 하겠습니다",1656162,해달벗.,100,50,60%,3000,2026.05.06
"프랑스 해군제독이 되었다",1662383,알자스.,100,54,60%,3240,2026.05.06
"내 눈에만 아공간이 보여",1683816,[지누아빠],100,164,60%,9840,2026.05.06
"삼국지: 조조의 장남이 되었다",1684311,[검은방],100,36,60%,2160,2026.05.06
"미국 로또로 역대급 재벌! ",1693058,[강바기],100,100,60%,6000,2026.05.06
"참교육에 미친 천재 타자",1720612,사키만자루,100,5,60%,300,2026.05.06
"신이 내린 투자 천재",1735089,해달벗.,100,4,60%,240,2026.05.06
"삼국지 : 유비의 책사, 천하를 삼키다.",1743050,월천랑,100,254,60%,15240,2026.05.06
"황태자님, 작작하세요",1748896,[[[세레나향기]]],100,16,60%,960,2026.05.06
"눈떠보니 선조대왕",1750734,[브루마블],100,352,60%,21120,2026.05.06
"천재 투수가 170km를 숨김",1755586,단팥빵소년.,100,45,60%,2700,2026.05.06
"박정의의 조카가 되었다",1761401,사키만자루,100,11,60%,660,2026.05.06
"인생 2회차 철종의 슬기로운 정복생활",1763764,[MOOHA],100,14,60%,840,2026.05.06
"판타지 속 공무원으로 살아남기",1768131,농구광.,100,16,60%,960,2026.05.06
"메디시스가의 오메가",1787968,코네꼬.,100,108,60%,6480,2026.05.06
"내 사전에 군납비리란 없다",1791786,사키만자루,100,5,60%,300,2026.05.06
"충무공의 아들이 되었다",1793207,[보헤미아],100,5,60%,300,2026.05.06
"가난한 남편이 가문을 숨김",1808579,슬라.,100,69,60%,4140,2026.05.06
"청년 리마르",1812202,[월계수],100,1,60%,60,2026.05.06
"PD님은 방송천재",1812583,[[[유나파파]]],100,43,60%,2580,2026.05.06
"남자인데도 내가 좋다고?",1814845,[베르시],100,23,60%,1380,2026.05.06
"성기사를 삼킨 마녀",1816851,김캐럿.,100,1,60%,60,2026.05.06
"소환술사는 맞는데, 이상한 걸 소환합니다",1819192,[룬명],100,36,60%,2160,2026.05.06
"도망의 끝에서 널 만났다",1819670,[유주신],100,77,60%,4620,2026.05.06
"이 사랑에서 빠지겠습니다",1823811,라솜브라데라루나,100,2,60%,120,2026.05.06
"여러분의 청혼을 거절합니다",1823813,[설호정],100,2,60%,120,2026.05.06
"용살자의 클래스가 다른 회귀",1833419,헥토파스칼.해경,100,4,60%,240,2026.05.06
"천재 공학자는 투자가 너무 쉽다",1834299,toAny,100,29,60%,1740,2026.05.06
"비자금 사냥꾼",1834301,[파라모르템],100,51,60%,3060,2026.05.06
"축구천재는 명장이 됩니다",1834302,[[[주노드]]],100,78,60%,4680,2026.05.06
"재벌에서 광복군까지",1838773,빛나는구름,100,804,60%,48240,2026.05.06
"미친놈의 집착에서 벗어나는 법",1858241,글쓰는아프로디테.,100,46,60%,2760,2026.05.06
"금단 위에 순정",1858911,로체니콥.,100,418,60%,25080,2026.05.06
"히든 에스퍼",1864328,UDA.,100,189,60%,11340,2026.05.06
"서커 베트",1864331,(더스티),100,63,60%,3780,2026.05.06
늦장마,1864332,[혜율],100,300,60%,18000,2026.05.06
"안락한 침수",1864333,(더스티),100,181,60%,10860,2026.05.06
"발목을 잡으면",1864334,라디칼.,100,334,60%,20040,2026.05.06
"나를 조종하는 트롤이여",1864335,(르릅),100,8,60%,480,2026.05.06
"도망친 길의 종착점",1864337,젠킨.,100,508,60%,30480,2026.05.06
