출판사명,레이블명,분야
AM미디어,백야,장르소설
AP북스,APBOOKS,장르소설
AP북스,AP북스,
AP북스,BOOK 19,장르소설
AP북스,Miyoo,
AP북스,X Wolf,오디오북
AP북스,so what,장르소설
AP북스,레드망고,장르소설
AP북스,야한 버스,장르소설
AP북스,에이피북스,
AP북스,엔플러스,
AP북스,창작집단 뻘,
AP북스,퀸스토리,장르소설
가갸날,가갸날,일반단행본
가디언,가디언,만화
가디언,시루,만화
가로수길,가로수길,
가온북스,내일을여는책,일반단행본
가온북스,다옴북스,장르소설
가온북스,레드바나나,장르소설
가온북스,반디출판사,일반단행본
가온북스,봄풀출판,일반단행본
가온북스,샘터,일반단행본
가온북스,샘터사,일반단행본
가온북스,책길,일반단행본
가온북스,키큰도토리,일반단행본
가온북스,플레이룸,장르소설
가온북스,행복에너지,일반단행본
가온북스,행복한 에너지,일반단행본
가온북스,휴먼탑,일반단행본
교보문고,교보문고,
교보문고,디키스토리,일반단행본
교보문고,마카롱,일반단행본
교보문고,스워드디키,장르소설
교보문고,어딕트디키,장르소설
글로라이터,글로라이터,
글로벌컨텐츠,러브홀릭,오디오북
글로벌컨텐츠,키다리 스튜디오,오디오북
꼬제,달리아,
꼬제,달리아(스토리숲),
꼬제,라포레,
꼬제,라포레(스토리숲),
꼬제,미니꼬제,
꼬제,벨숲,
꼬제,벨숲(스토리숲),
꼬제,오넷,
꼬제,유니브,
꼬제,유즈비,
꼬제,제녹,
나인스펙트럼,나인스펙트럼,
넥스트레벨스튜디오,넥스트레벨 스튜디오,
넥스트레벨스튜디오,넥스트레벨스튜디오,
늘솔북스,Mare,
늘솔북스,Tasty,
늘솔북스,늘솔북스,장르소설
늘솔북스,늪,
다온북스,다온북스,일반단행본
다온북스,다온북스컴퍼니,일반단행본
다온북스,하이픈,일반단행본
다인북스,다인북스,일반단행본
다인북스,발해그후,일반단행본
닷츠미디어,체리닷,
닷츠미디어,피치닷,
더로맨틱,일리걸,장르소설
더파란스튜디오,더파란스튜디오,
도서출판 그레이스,도서출판 그레이스,
도서출판 그레이스,도서출판그레이스,
도서출판 레토,델로스,
도서출판 레토,레테나잇,
도서출판 레토,레토북스,
도서출판 레토,아르테미스,
도서출판 레토,아폴론,
도서출판 리채,레드로즈,
